c_custkey,c_name,c_acctbal,c_address,n_name,c_phone,c_comment,deltaRevenue,revenue
1234,Customer#000001234,-982.32,"B3OhbH0MRJE,F0Lc7Jq0Ttv3",ARGENTINA,11-742-434-6436,y ironic instructions are quickly about the slyly silent pinto beans. quickly final dependenci,39890.592,39890.592
1234,Customer#000001234,-982.32,"B3OhbH0MRJE,F0Lc7Jq0Ttv3",ARGENTINA,11-742-434-6436,y ironic instructions are quickly about the slyly silent pinto beans. quickly final dependenci,48121.479,88012.071
1234,Customer#000001234,-982.32,"B3OhbH0MRJE,F0Lc7Jq0Ttv3",ARGENTINA,11-742-434-6436,y ironic instructions are quickly about the slyly silent pinto beans. quickly final dependenci,46578.4704,134590.5414
670,Customer#000000670,6738.93,RJtcLv6Tjpx,BRAZIL,12-839-426-4266,y unusual deposits are carefully regular foxes. packages dazzle carefully. furiously unusual d,46277.0854,46277.0854
644,Customer#000000644,6183.15,"bfZrdZE0QHtMc,ksudO",CHINA,28-489-845-4801,"ke slyly alongside of the silent, even req",11970.886400000001,11970.886400000001
644,Customer#000000644,6183.15,"bfZrdZE0QHtMc,ksudO",CHINA,28-489-845-4801,"ke slyly alongside of the silent, even req",1649.7663,13620.6527
644,Customer#000000644,6183.15,"bfZrdZE0QHtMc,ksudO",CHINA,28-489-845-4801,"ke slyly alongside of the silent, even req",42840.69790000001,56461.350600000005
1355,Customer#000001355,2351.1,c1r6G98ixzLQkvUV2KphsFwhYvpDo18oToGB,SAUDI ARABIA,30-918-883-1662,anent dependencies are blithely above the quickly silent escapades. requests sleep. final foxes sleep slyl,54922.988000000005,54922.988000000005
1355,Customer#000001355,2351.1,c1r6G98ixzLQkvUV2KphsFwhYvpDo18oToGB,SAUDI ARABIA,30-918-883-1662,anent dependencies are blithely above the quickly silent escapades. requests sleep. final foxes sleep slyl,67670.459,122593.44700000001
1118,Customer#000001118,4130.18,"QHg,DNvEVXaYoCdrywazjAJ",IRAQ,21-583-715-8627,y regular requests above the blithely ironic accounts use slyly bold packages: regular pinto beans eat carefully spe,34041.867999999995,34041.867999999995
1118,Customer#000001118,4130.18,"QHg,DNvEVXaYoCdrywazjAJ",IRAQ,21-583-715-8627,y regular requests above the blithely ironic accounts use slyly bold packages: regular pinto beans eat carefully spe,46285.2432,80327.11119999998
1118,Customer#000001118,4130.18,"QHg,DNvEVXaYoCdrywazjAJ",IRAQ,21-583-715-8627,y regular requests above the blithely ironic accounts use slyly bold packages: regular pinto beans eat carefully spe,4915.0038,85242.11499999999
1118,Customer#000001118,4130.18,"QHg,DNvEVXaYoCdrywazjAJ",IRAQ,21-583-715-8627,y regular requests above the blithely ironic accounts use slyly bold packages: regular pinto beans eat carefully spe,46528.1355,131770.2505
1118,Customer#000001118,4130.18,"QHg,DNvEVXaYoCdrywazjAJ",IRAQ,21-583-715-8627,y regular requests above the blithely ironic accounts use slyly bold packages: regular pinto beans eat carefully spe,26588.592,158358.8425
1027,Customer#000001027,4946.21,GNaw4RXXMr,BRAZIL,12-278-154-5262," final requests haggle. final, even sheaves maintain carefully above the even ac",73709.18100000001,73709.18100000001
1027,Customer#000001027,4946.21,GNaw4RXXMr,BRAZIL,12-278-154-5262," final requests haggle. final, even sheaves maintain carefully above the even ac",905.8851,74615.06610000001
1027,Customer#000001027,4946.21,GNaw4RXXMr,BRAZIL,12-278-154-5262," final requests haggle. final, even sheaves maintain carefully above the even ac",40159.8032,114774.86930000002
1027,Customer#000001027,4946.21,GNaw4RXXMr,BRAZIL,12-278-154-5262," final requests haggle. final, even sheaves maintain carefully above the even ac",7936.583200000001,122711.45250000001
1027,Customer#000001027,4946.21,GNaw4RXXMr,BRAZIL,12-278-154-5262," final requests haggle. final, even sheaves maintain carefully above the even ac",9922.72,132634.17250000002
1249,Customer#000001249,448.49,x9ukZnNiUM5pBPXyE3epagewVQBPZzxGYD6sMH,GERMANY,17-866-269-1165," the ironic packages sleep carefully express theodolites. even, final deposits across the even deposits nag after t",35713.2776,35713.2776
1249,Customer#000001249,448.49,x9ukZnNiUM5pBPXyE3epagewVQBPZzxGYD6sMH,GERMANY,17-866-269-1165," the ironic packages sleep carefully express theodolites. even, final deposits across the even deposits nag after t",52624.089,88337.36660000001
419,Customer#000000419,7786.69,gvbZNJ4UVBAo5yOZ2UOWcvV9TeTj,MOZAMBIQUE,26-338-447-2399,ideas affix alongside of the final accounts. quickly ironic deposits abo,7704.48,7704.48
419,Customer#000000419,7786.69,gvbZNJ4UVBAo5yOZ2UOWcvV9TeTj,MOZAMBIQUE,26-338-447-2399,ideas affix alongside of the final accounts. quickly ironic deposits abo,63595.678499999995,71300.15849999999
1240,Customer#000001240,5439.44,XbvhyAXRkuujtESRmxeD9eQpYSkiCa,EGYPT,14-650-555-5310,"ans above the slyly regular ideas cajole furiously across the regular, regular decoys. furiously final asymptotes s",45790.92479999999,45790.92479999999
1240,Customer#000001240,5439.44,XbvhyAXRkuujtESRmxeD9eQpYSkiCa,EGYPT,14-650-555-5310,"ans above the slyly regular ideas cajole furiously across the regular, regular decoys. furiously final asymptotes s",61451.13,107242.05479999998
1240,Customer#000001240,5439.44,XbvhyAXRkuujtESRmxeD9eQpYSkiCa,EGYPT,14-650-555-5310,"ans above the slyly regular ideas cajole furiously across the regular, regular decoys. furiously final asymptotes s",51607.294200000004,158849.349
1240,Customer#000001240,5439.44,XbvhyAXRkuujtESRmxeD9eQpYSkiCa,EGYPT,14-650-555-5310,"ans above the slyly regular ideas cajole furiously across the regular, regular decoys. furiously final asymptotes s",1295.7618,160145.1108
1436,Customer#000001436,9158.91,"kV5m0jkgFEto,",IRAN,20-918-593-1860,theodolites. final Tiresias after the quickly final packages dazzle carefully blithely bold ,52290.84,52290.84
1436,Customer#000001436,9158.91,"kV5m0jkgFEto,",IRAN,20-918-593-1860,theodolites. final Tiresias after the quickly final packages dazzle carefully blithely bold ,15413.489000000001,67704.329
1436,Customer#000001436,9158.91,"kV5m0jkgFEto,",IRAN,20-918-593-1860,theodolites. final Tiresias after the quickly final packages dazzle carefully blithely bold ,38996.748,106701.07699999999
1436,Customer#000001436,9158.91,"kV5m0jkgFEto,",IRAN,20-918-593-1860,theodolites. final Tiresias after the quickly final packages dazzle carefully blithely bold ,10964.4458,117665.52279999999
1205,Customer#000001205,5390.34,1ALD7GN4Iw0Vl5toeM,INDIA,18-185-307-2678,ptotes. silent deposits above the bold warhorses boost,38898.8325,38898.8325
1205,Customer#000001205,5390.34,1ALD7GN4Iw0Vl5toeM,INDIA,18-185-307-2678,ptotes. silent deposits above the bold warhorses boost,66537.2955,105436.128
835,Customer#000000835,2106.81,Sjqs42jh111,VIETNAM,31-700-242-6347,"gside of the furiously final packages wake quiet, permanent accounts. unusual packages into the unusual, ironic req",19767.875399999997,19767.875399999997
1459,Customer#000001459,9270.88,2sPwjFNEFf9dN4az,IRAQ,21-424-586-6295,ounts use blithely. blithely pending packages use ironic deposits. final accounts boost slyly. care,46257.96,46257.96
1459,Customer#000001459,9270.88,2sPwjFNEFf9dN4az,IRAQ,21-424-586-6295,ounts use blithely. blithely pending packages use ironic deposits. final accounts boost slyly. care,61934.6,108192.56
1459,Customer#000001459,9270.88,2sPwjFNEFf9dN4az,IRAQ,21-424-586-6295,ounts use blithely. blithely pending packages use ironic deposits. final accounts boost slyly. care,25830.7632,134023.32319999998
1049,Customer#000001049,8747.99,bZ1OcFhHaIZ5gMiH,INDONESIA,19-499-258-2851,uriously according to the furiously silent packages,42387.645300000004,42387.645300000004
1049,Customer#000001049,8747.99,bZ1OcFhHaIZ5gMiH,INDONESIA,19-499-258-2851,uriously according to the furiously silent packages,51217.6126,93605.2579
1049,Customer#000001049,8747.99,bZ1OcFhHaIZ5gMiH,INDONESIA,19-499-258-2851,uriously according to the furiously silent packages,48361.24219999999,141966.5001
1049,Customer#000001049,8747.99,bZ1OcFhHaIZ5gMiH,INDONESIA,19-499-258-2851,uriously according to the furiously silent packages,74926.7232,216893.2233
